Date,Close,High,Low,Open,Volume,Ticker,Log_Return,Return
2020-01-01,433.3164367675781,440.19903769161886,429.92292595365586,435.9451943322089,5154996,BHARTIARTL,,
2020-01-02,435.13275146484375,439.14758779263195,433.50769512741334,434.08123043712516,4933053,BHARTIARTL,0.00418289836678912,0.004191658896705697
2020-01-03,435.037109375,438.95636609332547,431.5958383383594,435.6106743610621,5154587,BHARTIARTL,-0.00021982395514500905,-0.00021979979562969376
2020-01-06,429.8273620605469,437.2834984688203,425.04777296091777,433.88998753328985,7538915,BHARTIARTL,-0.012047691866758239,-0.011975408998873172
2020-01-07,425.47796630859375,435.2283037271959,423.56614243512666,432.07380027996186,4353883,BHARTIARTL,-0.01017048087726806,-0.010118936428575864
2020-01-08,438.6217956542969,440.4380401424602,420.93736615994624,423.08816792332976,14118818,BHARTIARTL,0.030424364829238524,0.030891915413946647
2020-01-09,439.81671142578125,454.01205145203596,435.2283102843843,447.75080439615203,18180867,BHARTIARTL,0.002720546740278383,0.002724250785809401
2020-01-10,436.85333251953125,445.4087794797443,434.17678520881066,444.3094689335885,37724966,BHARTIARTL,-0.006760559947313249,-0.006737758773747937
2020-01-13,448.228759765625,449.56704838337845,434.22460809252055,438.7651898542739,15206224,BHARTIARTL,0.02570621133120137,0.026039465420777397
2020-01-14,448.658935546875,451.81346882381564,446.0301776293807,448.2287692163891,8238486,BHARTIARTL,0.0009592634986188245,0.0009597237390008839
2020-01-15,447.2250061035156,451.19205212155697,444.50063953163044,448.80227252512975,10875259,BHARTIARTL,-0.003201152741322966,-0.003196034514751256
2020-01-16,453.0083312988281,455.92385668642765,447.3684391300821,448.51550964853055,16290593,BHARTIARTL,0.012848679377249008,0.012931578324969273
2020-01-17,478.0055236816406,481.5901933129002,454.15542663121045,454.15542663121045,61915666,BHARTIARTL,0.0537117715419638,0.05518042529403955
2020-01-20,486.2742004394531,490.0978779777431,472.46123703172117,477.001818816019,45298836,BHARTIARTL,0.017150374991465513,0.017298287045150573
2020-01-21,489.18975830078125,492.2964721698591,482.1637578449721,487.5169123712778,65202963,BHARTIARTL,0.005977804750818207,0.005995707480868306
2020-01-22,491.8184814453125,500.66072588789274,484.3623449103197,492.0574594183589,20285793,BHARTIARTL,0.00535924027903858,0.005373626695829081
2020-01-23,500.56512451171875,502.81153545799845,489.76329554776856,492.29647413912346,15772863,BHARTIARTL,0.017628000929735776,0.017784291148845055
2020-01-24,501.138671875,504.1019867939133,491.48391440390105,497.5539726306099,23824625,BHARTIARTL,0.001145143760115694,0.0011457996875845478
2020-01-27,491.7229309082031,500.99528274879066,489.3331213180115,498.1753365578996,11856786,BHARTIARTL,-0.018967443651155574,-0.018788693619608443
2020-01-28,469.5934753417969,491.722938321801,464.67051684686965,491.6751189477279,31674769,BHARTIARTL,-0.046048034962916574,-0.04500391211272892
