,Sales +,Expenses +,Operating Profit,OPM %,Other Income +,Interest,Depreciation,Profit before tax,Tax %,Net Profit +,EPS in Rs,Raw PDF
2022-12-01,216737,181728,35009,,3377,5201,10183,23002,,17806,11.67,
2023-03-01,212834,174478,38356,,2996,5819,11452,24081,,21327,14.26,
2023-06-01,207559,169466,38093,,3813,5837,11775,24294,,18258,11.83,
2023-09-01,231886,190918,40968,,3841,5731,12585,26493,,19878,12.85,
2023-12-01,225086,184430,40656,,3869,5789,12903,25833,,19641,12.76,
2024-03-01,236533,194017,42516,,4534,5761,13569,27720,,21243,14.01,
2024-06-01,231784,193019,38765,,3983,5918,13596,23234,,17445,11.19,
2024-09-01,231535,192477,39058,,4876,6017,12880,25037,,19323,12.24,
2024-12-01,239986,196197,43789,,4214,6179,13181,28643,,21930,13.7,
2025-03-01,261388,217556,43832,,4905,6155,13479,29103,,22611,14.34,
2025-06-01,243632,200727,42905,,15119,7036,13842,37146,,30783,19.95,
2025-09-01,254623,208738,45885,,4482,6827,14416,29124,,22092,13.42,
2025-12-01,264905,218887,46018,,4914,6613,14622,29697,,22290,13.78,
