,ITC,HINDUNILVR,NESTLEIND,HCLTECH,INFY,TCS,HINDALCO,JINDALSTEL,TATASTEEL,KOTAKBANK,HDFCBANK,ICICIBANK
ITC,0.0002964118312307075,7.454214770057443e-05,5.2133178592368505e-05,7.06043914944481e-05,7.970881858754256e-05,6.909447544300681e-05,0.00015847251113230545,0.00016665088109306533,0.00015054568484119837,0.0001049283996569511,9.477587956145474e-05,0.00012628191759529863
HINDUNILVR,7.454214770057443e-05,0.00024215310179936651,0.00013823151195164858,9.398526095420371e-05,0.00010072441163403539,8.435432262035185e-05,9.923632278351287e-05,0.00011053723709288062,7.090231941419567e-05,9.311326791452704e-05,7.40507635272893e-05,9.532027198661612e-05
NESTLEIND,5.2133178592368505e-05,0.00013823151195164858,0.00021324820402664102,9.01772736796362e-05,8.374463298819086e-05,6.82837556387498e-05,0.00010946736715044888,0.00011801083057071143,7.04581512463902e-05,9.051962373577073e-05,7.198521925599747e-05,8.55053525092239e-05
HCLTECH,7.06043914944481e-05,9.398526095420371e-05,9.01772736796362e-05,0.0003322489042219378,0.00022900503708460043,0.00018810899746838356,0.00021119167798197043,0.00022813154357946745,0.00016000373359593544,0.00010304478034305206,0.00010723655421985202,0.0001240683962040052
INFY,7.970881858754256e-05,0.00010072441163403539,8.374463298819086e-05,0.00022900503708460043,0.0003330442102259913,0.00020622844646790784,0.0001971463638367214,0.0002100096487978045,0.00015315445477569986,0.00012345578680812472,0.00012988261102344598,0.000156250889321681
TCS,6.909447544300681e-05,8.435432262035185e-05,6.82837556387498e-05,0.00018810899746838356,0.00020622844646790784,0.0002527006070429887,0.00017144935959709367,0.00018967116654903374,0.00014174012611923778,9.736626576196528e-05,0.00010095639418136767,0.00012113816375528494
HINDALCO,0.00015847251113230545,9.923632278351287e-05,0.00010946736715044888,0.00021119167798197043,0.0001971463638367214,0.00017144935959709367,0.0007472515270819753,0.0006112108684901267,0.0005099582952771887,0.00018907898478247662,0.0002073985345925348,0.0002912867411808969
JINDALSTEL,0.00016665088109306533,0.00011053723709288062,0.00011801083057071143,0.00022813154357946745,0.0002100096487978045,0.00018967116654903374,0.0006112108684901267,0.00099309719013165,0.0006040943617483805,0.00022056501843207185,0.00023459373904930592,0.0003221453728393557
TATASTEEL,0.00015054568484119837,7.090231941419567e-05,7.04581512463902e-05,0.00016000373359593544,0.00015315445477569986,0.00014174012611923778,0.0005099582952771887,0.0006040943617483805,0.0006139584086459139,0.000153804622608089,0.00016891395540267066,0.00024236527839215297
KOTAKBANK,0.0001049283996569511,9.311326791452704e-05,9.051962373577073e-05,0.00010304478034305206,0.00012345578680812472,9.736626576196528e-05,0.00018907898478247662,0.00022056501843207185,0.000153804622608089,0.0003741132667557459,0.00022332766691040274,0.0002514242536497504
HDFCBANK,9.477587956145474e-05,7.40507635272893e-05,7.198521925599747e-05,0.00010723655421985202,0.00012988261102344598,0.00010095639418136767,0.0002073985345925348,0.00023459373904930592,0.00016891395540267066,0.00022332766691040274,0.00031911462667493325,0.0002552528609971821
ICICIBANK,0.00012628191759529863,9.532027198661612e-05,8.55053525092239e-05,0.0001240683962040052,0.000156250889321681,0.00012113816375528494,0.0002912867411808969,0.0003221453728393557,0.00024236527839215297,0.0002514242536497504,0.0002552528609971821,0.00045686622524528954
